Timestamp,Action Detected,Male Count,Female Count,Location
2024-12-06 22:21:21,Violence against a woman,1,1,test
2024-12-06 22:21:38,Lone female detected,0,1,test
2024-12-06 22:21:41,Lone female detected,0,1,test
2024-12-06 22:21:45,Lone female detected,0,1,test
2024-12-06 22:21:51,Lone female detected,0,1,test
2024-12-06 22:21:58,Lone female detected,3,1,test
2024-12-06 22:22:03,Lone female detected,3,1,test
2024-12-06 22:22:07,Lone female detected,3,1,test
2024-12-06 22:22:11,Violence against a woman,3,1,test
2024-12-06 22:22:20,Lone female detected,0,1,test
2024-12-06 22:22:23,Lone female detected,0,1,test
2024-12-06 22:22:26,Lone female detected,0,1,test
2024-12-06 22:22:28,Lone female detected,0,1,test
2024-12-06 22:42:55,Lone female detected,0,1,testing
2024-12-06 22:43:01,Lone female detected,0,1,testing
2024-12-06 22:43:03,Lone female detected,0,1,testing
2024-12-06 22:43:06,Lone female detected,0,1,testing
2024-12-06 22:43:08,Lone female detected,0,1,testing
2024-12-06 22:43:10,Lone female detected,0,1,testing
2024-12-06 22:43:13,Lone female detected,0,1,testing
2024-12-06 22:43:20,Lone female detected,0,1,testing
2024-12-06 22:43:23,Lone female detected,0,1,testing
2024-12-06 22:43:28,Lone female detected,0,1,testing
2024-12-06 22:43:35,Lone female detected,0,1,testing
2024-12-06 22:43:42,Lone female detected,0,1,testing
2024-12-06 22:43:50,Violence against a woman,1,1,testing
2024-12-06 22:44:08,Lone female detected,3,1,testing
2024-12-06 22:44:11,Violence against a woman,3,1,testing
2024-12-06 22:44:16,Lone female detected,2,1,testing
2024-12-06 22:44:22,Violence against a woman,3,1,testing
2024-12-06 22:44:26,Lone female detected,3,1,testing
2024-12-06 22:44:33,Lone female detected,3,1,testing
2024-12-06 23:07:28,Lone female detected,1,1,shahad
2024-12-06 23:07:32,Lone female detected,2,1,shahad
2024-12-06 23:07:37,Violence against a woman,3,1,shahad
2024-12-06 23:07:41,Violence against a woman,3,1,shahad
2024-12-06 23:07:45,Violence against a woman,4,2,shahad
2024-12-06 23:07:59,Lone female detected,0,1,shahad
2024-12-06 23:08:02,Lone female detected,0,1,shahad
2024-12-06 23:08:06,Lone female detected,0,1,shahad
2024-12-06 23:08:08,Lone female detected,0,1,shahad
2024-12-06 23:08:12,Lone female detected,0,1,shahad
2024-12-06 23:08:14,Lone female detected,0,1,shahad
2024-12-06 23:08:23,Lone female detected,3,1,shahad
2024-12-06 23:08:27,Lone female detected,3,1,shahad
2024-12-06 23:08:30,Lone female detected,1,1,shahad
2024-12-06 23:14:48,Lone female detected,3,1,ui
2024-12-06 23:14:52,Violence against a woman,3,1,ui
2024-12-06 23:14:55,Lone female detected,3,1,ui
2024-12-06 23:14:59,Lone female detected,3,1,ui
2024-12-06 23:15:02,Violence against a woman,3,1,ui
2024-12-06 23:15:34,Violence against a woman,1,1,ui
2024-12-06 23:15:36,Lone female detected,0,1,ui
2024-12-06 23:15:40,Lone female detected,0,1,ui
2024-12-06 23:15:45,Lone female detected,0,1,ui
2024-12-06 23:15:48,Lone female detected,0,1,ui
2024-12-06 23:15:54,Lone female detected,3,1,ui
2024-12-06 23:15:59,Lone female detected,3,1,ui
2024-12-06 23:16:03,Lone female detected,3,1,ui
2024-12-06 23:16:07,Violence against a woman,3,1,ui
2024-12-06 23:22:44,Violence against a woman,5,1,let
2024-12-06 23:23:09,Violence against a woman,1,1,let
2024-12-06 23:23:22,Violence against a woman,1,1,let
2024-12-06 23:23:46,Violence against a woman,1,1,let
2024-12-06 23:23:49,Lone female detected,1,1,let
2024-12-06 23:23:54,Violence against a woman,2,1,let
2024-12-06 23:23:56,Lone female detected,2,1,let
2024-12-06 23:23:58,Violence against a woman,3,1,let
2024-12-06 23:24:15,Violence against a woman,1,1,let
2024-12-06 23:32:55,Violence against a woman,2,1,qw
2024-12-06 23:33:03,Lone female detected,2,1,qw
2024-12-06 23:33:06,Lone female detected,2,1,qw
2024-12-06 23:33:08,Lone female detected,2,1,qw
2024-12-06 23:33:10,Lone female detected,1,1,qw
2024-12-06 23:33:13,Violence against a woman,1,1,qw
2024-12-06 23:33:15,Violence against a woman,1,1,qw
2024-12-06 23:33:25,Lone female detected,2,1,qw
2024-12-06 23:33:33,Lone female detected,0,1,qw
2024-12-06 23:34:13,Lone female detected,0,1,qw
2024-12-06 23:34:15,Lone female detected,0,1,qw
2024-12-06 23:34:21,Lone female detected,0,1,qw
2024-12-06 23:34:23,Violence against a woman,2,1,qw
2024-12-06 23:34:33,Violence against a woman,0,1,qw
2024-12-06 23:34:34,Lone female detected,0,1,qw
2024-12-06 23:34:37,Violence against a woman,2,1,qw
2024-12-06 23:34:39,Violence against a woman,2,1,qw
2024-12-06 23:34:40,Violence against a woman,1,1,qw
2024-12-06 23:34:49,Lone female detected,2,1,qw
2024-12-06 23:35:10,Violence against a woman,2,1,qw
2024-12-06 23:35:16,Violence against a woman,8,1,qw
2024-12-06 23:35:19,Violence against a woman,2,1,qw
2024-12-06 23:35:23,Lone female detected,0,1,qw
2024-12-06 23:35:25,Lone female detected,0,1,qw
2024-12-06 23:35:27,Violence against a woman,2,1,qw
2024-12-06 23:35:30,Violence against a woman,2,2,qw
2024-12-06 23:35:32,Violence against a woman,2,1,qw
2024-12-07 12:09:38,Violence against a woman,1,1,trial
2024-12-07 12:10:04,Lone female detected,0,1,trial
2024-12-07 12:10:15,Lone female detected,0,1,trial
2024-12-07 12:10:31,Lone female detected,0,1,trial
2024-12-07 12:10:39,Lone female detected,0,1,trial
2024-12-07 12:10:47,Lone female detected,0,1,trial
2024-12-07 12:10:55,Lone female detected,0,1,trial
